"Model","Year","ssp126","ssp245","ssp585"
"MIROC6",2034,191.8686,592.3305,0
"MIROC6",2035,172.6459,53.6215,201.2686
"MIROC6",2036,186.1726,245.1398,295.4182
"MIROC6",2037,40.71,185.3706,236.4043
"MIROC6",2038,48.6065,419.6256,29.043
"MIROC6",2039,92.7439,418.2906,14.551
"MIROC6",2040,151.5457,176.6752,298.8544
"MIROC6",2041,175.022,287.9406,326.0626
"MIROC6",2042,135.4991,568.4511,26.0782
"MIROC6",2043,134.5906,560.0871,209.9616
"MIROC6",2044,295.1365,456.4366,263.2319
"MIROC6",2045,231.2916,44.7636,438.039
"MIROC6",2046,411.2024,85.0359,276.749
"MIROC6",2047,623.0868,320.4954,340.8644
"MIROC6",2048,278.9726,657.229,389.9496
"MIROC6",2049,25.2016,401.0963,488.4134
"MIROC6",2050,422.9245,201.4466,390.3379
"MIROC6",2051,379.4552,134.3434,651.089
"MIROC6",2053,287.2275,443.9709,493.704
"MIROC6",2054,14.062,407.9077,628.4904
"MIROC6",2055,311.9462,116.0456,709.56
"MIROC6",2056,200.9733,717.4932,711.504
"MIROC6",2057,462.3376,508.0239,677.7106
"MIROC6",2058,561.38,381.8097,448.0541
"MIROC6",2059,193.4695,547.8343,422.7986
"MIROC6",2060,820.3414,474.3682,757.6182
"MIROC6",2061,810.3708,663.7583,847.53
"MIROC6",2062,298.7705,290.9415,562.7951
"MIROC6",2063,326.7945,61.011,707.203
"MIROC6",2064,29.0316,740.502,817.9032
"MIROC6",2065,307.8636,612.2729,875.9559
"MIROC6",2066,669.0256,623.434,597.9979
"MIROC6",2067,634.363,195.9326,608.3616
"MIROC6",2068,264.6659,767.157,759.194
"MIROC6",2069,136.076,728.7332,694.2448
"MIROC6",2070,251.0366,176.7335,583.5404
"MIROC6",2071,248.3624,329.892,461.2919
"MIROC6",2072,340.5791,456.4193,309.6719
"MIROC6",2073,337.9514,423.7068,825.6655
"MIROC6",2074,252.8127,403.9897,812.1108
"MIROC6",2075,83.0652,222.5508,666.5013
"MIROC6",2076,195.0362,378.1586,612.0086
"MIROC6",2077,465.0929,883.4841,781.6386
"MIROC6",2078,522.7137,772.8024,950.0897
"MIROC6",2079,132.1184,429.4926,1077.772
"MIROC6",2080,345.0084,671.4316,1080.7248
"MIROC6",2081,325.9245,658.7922,1077.772
"MIROC6",2082,451.5468,658.0248,1077.772
"MIROC6",2083,538.7204,598.4879,729.8055
"MIROC6",2084,258.1598,345.5876,813.0584
"MIROC6",2085,613.3601,126.1027,1183.184
"MIROC6",2086,422.071,691.8306,1183.184
"MIROC6",2087,541.654,528.6317,1183.184
"MIROC6",2088,154.3811,615.7732,1186.4256
"MIROC6",2089,269.3607,444.2838,1183.184
"MIROC6",2090,302.8019,716.3201,1183.184
"MIROC6",2091,379.4264,589.9544,1183.184
"MIROC6",2092,73.8795,650.2831,1186.4256
"MIROC6",2093,529.9564,874.2845,1183.184
"MIROC6",2094,65.9274,760.3285,1183.184
"MIROC6",2095,249.2392,319.1474,1183.184
"MIROC6",2096,18.1149,630.0595,1186.4256
"MIROC6",2097,386.0414,292.246,1183.184
"MIROC6",2098,138.7816,438.7908,1183.184
"MIROC6",2099,376.3523,451.2885,1183.184
"MIROC6",2100,132.8728,693.4758,1183.184
"MRI-ESM2-0",2020,159.9846,90.4017,302.3874
"MRI-ESM2-0",2021,16.0374,237.0748,399.7886
"MRI-ESM2-0",2022,93.42,289.7987,281.1679
"MRI-ESM2-0",2023,91.5042,350.546,335.0934
"MRI-ESM2-0",2024,30.607,288.9603,444.6582
"MRI-ESM2-0",2025,68.1672,462.1981,515.3499
"MRI-ESM2-0",2026,44.5562,158.5745,223.6233
"MRI-ESM2-0",2027,190.749,388.6746,338.6146
"MRI-ESM2-0",2028,348.5829,137.953,228.3809
"MRI-ESM2-0",2029,511.2502,123.3071,342.209
"MRI-ESM2-0",2030,198.0292,310.8381,466.7347
